"282","0.06","when","ADT.CategoryVery Light",">=","0.5","&","Avg..Daily.Precipitation","is","2.1","to","2.2","&","No..of.Snow.Fall","is","54","to","67","&","Age_L",">=","35","","","",""
"16","0.12","when","ADT.CategoryVery Light",">=","0.5","&","Avg..Daily.Precipitation",">=","","","2.0","&","No..of.Snow.Fall","is","67","to","68","","","","","","","",""
"140","0.22","when","ADT.CategoryVery Light",">=","0.5","&","Avg..Daily.Precipitation","is","2.0","to","2.2","&","No..of.Snow.Fall","is","54","to","67","&","Age_L","< ","35","","","",""
"68","0.27","when","ADT.CategoryVery Light",">=","0.5","&","Avg..Daily.Precipitation",">=","","","2.0","&","No..of.Snow.Fall","< ","54","","","","","","","&","MaterialConcrete Continuous","< ","0.5"
"5","0.63","when","ADT.CategoryVery Light",">=","0.5","&","Avg..Daily.Precipitation","< ","2.0","","","","","","","","","","","","","","","",""
"3","0.73","when","ADT.CategoryVery Light","< ","0.5","","","","","","","","","","","","","","","","","","","",""
"9","0.77","when","ADT.CategoryVery Light",">=","0.5","&","Avg..Daily.Precipitation",">=","","","2.0","&","No..of.Snow.Fall",">=","","","68","","","","","","","",""
"283","0.78","when","ADT.CategoryVery Light",">=","0.5","&","Avg..Daily.Precipitation","is","2.0","to","2.1","&","No..of.Snow.Fall","is","54","to","67","&","Age_L",">=","35","","","",""
"71","0.79","when","ADT.CategoryVery Light",">=","0.5","&","Avg..Daily.Precipitation",">=","","","2.2","&","No..of.Snow.Fall","is","54","to","67","","","","","","","",""
"69","1.00","when","ADT.CategoryVery Light",">=","0.5","&","Avg..Daily.Precipitation",">=","","","2.0","&","No..of.Snow.Fall","< ","54","","","","","","","&","MaterialConcrete Continuous",">=","0.5"
